state,city,code
WA,Seattle Bellevue Everett,42644
SC,Florence,22500
CA,Hanford Corcoran,25260
CA,San Jose Sunnyvale Santa Clara,41940
WA,Spokane Spokane Valley,44060
GA,Rome,40660
MA,Pittsfield,76600
CA,El Centro,20940
WV OH,Wheeling,48540
TX,Midland,33260
NJ,Ocean City,36140
UT,Provo Orem,39340
NC,Greenville,24780
VA NC,Virginia Beach Norfolk Newport News,47260
WA,Bellingham,13380
AR,Jonesboro,27860
TN,Morristown,34100
WV,Beckley,13220
CA,Madera,31460
CA,Sacramento  Roseville  Arden Arcade,40900
MN WI,Duluth,20260
OR,Albany,10540
MO,Jefferson City,27620
AZ,Lake Havasu City Kingman,29420
TX,Tyler,46340
NH ME,Dover Durham,73050
MA,Framingham,73104
LA,New Orleans Metairie,35380
AZ,Phoenix Mesa Scottsdale,38060
OH,Akron,10420
NY,Rochester,40380
GA,Brunswick,15260
TX,Lubbock,31180
TX,Odessa,36220
MA NH,Lawrence Methuen Town Salem,74204
MD,"Calvert
",17660
NY,Kingston,28740
IN MI,South Bend Mishawaka,43780
NE,Grand Island,24260
VA,Northern Virginia,94783
NY,Albany Schenectady Troy,10580
NV,Las Vegas Henderson Paradise,29820
MI,Ann Arbor,11460
SC,Charleston North Charleston,16700
AL,Anniston Oxford Jacksonville,11500
NC,Asheville,11700
AR,Hot Springs,26300
FL,Cape Coral Fort Myers,15980
CT,Hartford West Hartford East Hartford,73450
OR,Grants Pass,24420
SD,Sioux Falls,43620
FL,Lakeland Winter Haven,29460
PA NJ DE MD,Philadelphia Camden Wilmington,37980
MO IL,Cape Girardeau,16020
KS,Wichita,48620
PA,Johnstown,27780
PA,Montgomery County Bucks County Chester County,33874
MN,St. Cloud,41060
IA,Ames,11180
ME,Bangor,70750
NY,Binghamton,13780
GA AL,Columbus,17980
FL,Homosassa Springs,26140
PA NJ,Allentown Bethlehem Easton,10900
WA,Wenatchee,48300
NY,Glens Falls,24020
CA,San Francisco Redwood City South San Francisco,41884
CA,Los Angeles Long Beach Glendale,31084
WI,Sheboygan,43100
AK,Fairbanks,21820
GA,Gainesville,23580
WA,Yakima,49420
NJ,Bergen Hudson Passaic,93563
UT,Ogden Clearfield,36260
OH KY IN,Cincinnati,17140
NC SC,Charlotte Concord Gastonia,16740
KY IN,Louisville/Jefferson County,31140
TX,San Angelo,41660
SC NC,Myrtle Beach Conway North Myrtle Beach,34820
WA,Mount Vernon Anacortes,34580
NM,Santa Fe,42140
TX,Amarillo,11100
MD,Baltimore Columbia Towson,12580
MO KS,Kansas City,28140
MI,Monroe,33780
MI,Lansing East Lansing,29620
WY,Casper,16220
MD WV,Cumberland,19060
DE MD NJ,Wilmington,48864
IL WI,Lake County Kenosha County,29404
FL,Orlando Kissimmee Sanford,36740
WV OH,Weirton Steubenville,48260
MD WV,Hagerstown Martinsburg,25180
WA,Tacoma Lakewood,45104
TX,McAllen Edinburg Mission,32580
GA,Valdosta,46660
PA,Erie,21500
CA,San Francisco Oakland Hayward,41860
OR,Salem,41420
OH,Lima,30620
IN,Kokomo,29020
MI,Saginaw,40980
WA,Walla Walla,47460
CA,Oakland Hayward Berkeley,36084
ID,Boise City,14260
CO,Boulder,14500
KY,Lexington Fayette,30460
LA,Alexandria,10780
IL,Peoria,37900
IL,Carbondale Marion,16060
NY,Syracuse,45060
TX AR,Texarkana,45500
FL,Naples Immokalee Marco Island,34940
KS,Lawrence,29940
MN,Rochester,40340
CA,Fresno,23420
WI,Milwaukee Waukesha West Allis,33340
IA,Cedar Rapids,16300
NC,Durham Chapel Hill,20500
TX,Abilene,10180
TX,Longview,30980
IL,Springfield,44100
TX,Sherman Denison,43300
AL,Decatur,19460
WV KY OH,Huntington Ashland,26580
CT,Bridgeport Stamford Norwalk,71950
MD,Silver Spring Frederick Rockville,43524
NV,Carson City,16180
FL,Tampa St. Petersburg Clearwater,45300
MA,Peabody Salem Beverly,76524
AL,Gadsden,23460
CA,San Luis Obispo Paso Robles Arroyo Grande,42020
GA,Warner Robins,47580
UT,Salt Lake City,41620
MD,California Lexington Park,15680
GA,Atlanta Sandy Springs Roswell,12060
TN,Jackson,27180
NE,Lincoln,30700
AR,Pine Bluff,38220
DC VA MD WV,Washington Arlington Alexandria,47900
SC,Sumter,44940
MO,Springfield,44180
PA,Lebanon,30140
NC,Rocky Mount,40580
AR,Little Rock North Little Rock Conway,30780
PA,York Hanover,49620
IN,Elkhart Goshen,21140
WI MN,La Crosse Onalaska,29100
CT,Danbury,72850
GA,Savannah,42340
PA,Scranton  Wilkes Barre  Hazleton,42540
AK,Anchorage,11260
CA,Salinas,41500
MI,Detroit Dearborn Livonia,19804
IA,Iowa City,26980
NJ,Middlesex Monmouth Ocean,93565
NY,Orange Rockland Westchester,93562
GA,Albany,10500
NY,Nassau County Suffolk County,35004
PA,Bloomsburg Berwick,14100
CO,Colorado Springs,17820
AR OK,Fort Smith,22900
VA,Harrisonburg,25500
ID WA,Lewiston,30300
LA,Hammond,25220
CO,Pueblo,39380
MA,Brockton Bridgewater Easton,72104
ND MN,Grand Forks,24220
MA NH,Lowell Billerica Chelmsford,74804
FL,Panama City,37460
IL,Chicago Naperville Arlington Heights,16974
WI,Eau Claire,20740
NM,Albuquerque,10740
MN,Mankato North Mankato,31860
CA,Redding,39820
GA,Macon,31420
MO,Kansas City,92811
ME,Lewiston Auburn,74650
CA,San Rafael,42034
PA,Delaware County,97962
CA,Santa Cruz Watsonville,42100
SC,Columbia,17900
WV,Parkersburg Vienna,37620
MS,Gulfport Biloxi Pascagoula,25060
TX,El Paso,21340
NY NJ,New York Jersey City White Plains,35614
AL,Auburn Opelika,12220
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL